Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KOLKATA - 05:00 (DGP DEPOT) - 122,Non AC Seater (2+3),05:00,03h 30m,08:30,4.3,INR 150,42 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KARUNAMOYEE - 05:15 (DGP DEPOT) - 383,Non AC Seater (2+3),05:15,04h 00m,09:15,4.2,INR 155,10 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KOLKATA - 05:30 (DGP DEPOT) - 123,Non AC Seater (2+3),05:30,03h 30m,09:00,4.0,INR 150,51 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KOLKATA - L/S - 06:00 (DGP DEPOT) - 125,Non AC Seater (2+3),06:00,03h 30m,09:30,3.0,INR 150,42 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KARUNAMOYEE - 06:15 (DGP DEPOT) - 136,Non AC Seater (2+3),06:15,04h 00m,10:15,3.9,INR 155,22 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Pammi Travels,Non A/C Seater / Sleeper (2+1),02:00,04h 00m,06:00,3.7,INR 650,7 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),02:00,04h 00m,06:00,4.0,463,21 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line (Karunamoyee),Volvo 9600 A/C Semi Sleeper (2+2),06:10,03h 10m,09:20,4.5,INR 486,14 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:10,03h 10m,09:20,4.1,INR 486,19 Seats available
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,Volvo A/C Seater (2+2),06:30,03h 15m,09:45,4.2,INR 486,28 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-GARIA - RAMPURHAT - VIA - FUTISANKO - 05:20 - 2817,Non AC Seater (2+3),05:20,18h 40m,00:00,3.6,INR 110,52 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - ASANSOL - L/S - 06:00 (HOWRAH DEPOT) - 264,Non AC Seater (2+3),06:00,02h 00m,08:00,3.0,INR 95,52 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 06:30 (BWN DEPOT) - 104,Non AC Seater (2+3),06:30,02h 00m,08:30,3.9,INR 100,38 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,SBSTC-HALDIA - CHITTARANJAN - VIA - KOLKATA - 05:00 - 278,Non AC Seater (2+3),05:00,03h 45m,08:45,3.9,INR 110,39 Seats available
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,SBSTC-HALDIA - KOLKATA - ALL STOP - 05:30 (HALDIA DEPOT) - 626,Non AC Seater (2+3),05:30,03h 00m,08:30,3.8,INR 110,35 Seats available
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,SBSTC-HALDIA - KOLKATA - 06:20 (Haldia Depot) - 1028,Non AC Seater (2+3),06:20,03h 00m,09:20,3.0,INR 110,46 Seats available
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,SBSTC-KOLKATA - HALDIA - 06:30 (BEL DEPOT) - 557,Non AC Seater (2+3),06:30,03h 00m,09:30,4.1,INR 110,42 Seats available
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,SBSTC-BARRACKPORE - HALDIA - VIA - BELGHARIA - 06:40 - 902,Non AC Seater (2+3),07:15,03h 00m,10:15,4.4,INR 112,33 Seats available
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,SBSTC-KOLKATA - HALDIA - NON STOP - 07:15 (Haldia Depot) - 606,Non AC Seater (2+3),07:15,03h 00m,10:15,4.3,INR 135,35 Seats available
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SBSTC-KOLKATA - PURULIA - VIA - ASN - 05:00 - (PRL DEPOT - 262,Non AC Seater (2+3),05:00,03h 15m,08:15,3.1,INR 150,51 Seats available
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SBSTC-KARUNAMOYEE - ASANSOL - 05:15 (ASN DEPOT) - 481,Non AC Seater (2+3),05:15,03h 45m,09:00,3.4,INR 155,44 Seats available
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SBSTC-KOLKATA - ASANSOL - 05:30 (HOWRAH DEPOT) - 776,Non AC Seater (2+3),05:30,03h 30m,09:00,2.5,INR 150,52 Seats available
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - BISHNUPUR - VIA - ARAMBAG - 06:25 (ARM D - 3610,Non AC Seater (2+3),06:25,02h 30m,08:55,4.2,INR 76,50 Seats available
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 07:30 - 574,Non AC Seater (2+3),07:30,02h 30m,10:00,4.2,INR 95,48 Seats available
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 08:30 - 575,Non AC Seater (2+3),08:30,02h 30m,11:00,3.9,INR 95,52 Seats available
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,,,,,,,,
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,,,,,,,,
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,,,,,,,,
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,,,,,,0,,
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,SBSTC-MIDNAPUR - KOLKATA - 04:40 (MID DEPOT) - 864,Non AC Seater (2+3),04:40,19h 20m,00:00,4.6,INR 110,41 Seats available
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,SBSTC-MIDNAPUR - KOLKATA - 05:10 (MID DEPOT) - 3210,Non AC Seater (2+3),05:10,18h 50m,00:00,3.7,INR 110,42 Seats available
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,SBSTC-MIDNAPUR - KOLKATA - 05:30 (MID DEPOT) - 1220,Non AC Seater (2+3),05:30,18h 30m,00:00,4.4,INR 110,21 Seats available
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,,,,,,,,
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,,,,,,,,
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,,,,,,,,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,SBSTC-GARIA - DIGHA - 04:00 (DIGHA DEPOT) - 911,Non AC Seater (2+3),04:00,20h 00m,00:00,3.8,INR 162,45 Seats available
